,CP18-0194,CP18-0198,CP18-0270,CP18-0283,CP18-0372,CP18-0397,CP18-0489,CP18-0515,CP18-0517,CP18-0644,CP18-0651,CP18-0661,CP18-0869,CP18-0966,CP18-0968,CP18-0991,CP18-0994,CP18-1008,CP18-1015,CP18-1039,CP18-1041,CP18-1042,CP18-1043,CP18-1176,CP18-1182,CP18-1324,CP18-1330,CP18-1342,CP18-1387,CP18-1394,CP18-1395,CP18-1417,CP18-1425,CP18-1576,CP18-1596,CP18-1611,CP18-1612,CP18-1618,CP18-1786,CP18-1884,CP18-1901 POL,CP18-1921 POL,HB 17-3183,HB 17-3208,HB 19-3031,XL16-002,XL16-188,XL17-211,XL17-226,XL16-326
CP18-0194,1.170476556,0.478573382,0.202021986,0.551180348,0.395985544,0.363745257,0.316462681,0.530587077,0.533249438,0.206961557,0.201017901,0.161802888,0.446642682,0.32741002,0.227777459,0.352147505,0.367086366,0.190883741,0.379253447,0.322160184,0.384141728,0.31439954,0.284509167,0.34282577,0.419500023,0.311790377,0.342306763,0.290412113,0.339272425,0.277562931,0.277562931,0.374371514,0.346189931,0.242947057,0.284451663,0.38846463,0.373252913,0.244420797,0.280844226,0.280844226,0.213651538,0.086101577,0.18692914,0.124279194,0.274468139,0.300820351,0.503950089,0.274181396,0.263035819,0.404015452
CP18-0198,0.478573382,1.101903915,0.100934088,0.477548957,0.361699224,0.25160715,0.247534126,0.46463275,0.46951592,0.153635561,0.163184434,0.123482227,0.35096547,0.260151818,0.188454583,0.263512582,0.289317995,0.156409532,0.309119642,0.25265646,0.293274492,0.263908863,0.221577257,0.242058545,0.323153198,0.221229523,0.274712086,0.208223343,0.26362893,0.215872556,0.215872556,0.296937257,0.282345563,0.185032517,0.217635676,0.302324176,0.294501096,0.195028007,0.201440513,0.201440513,0.1630373,0.082758754,0.147048302,0.098127708,0.224990427,0.297269881,0.427524626,0.207495153,0.306709737,0.333312452
CP18-0270,0.202021986,0.100934088,1,0.148432463,0.332126796,0.164354771,0.129137754,0.150773883,0.134055376,0.093438864,0.093818471,0.0815956,0.152536869,0.129654646,0.095338196,0.147042781,0.140515625,0.073786259,0.136662126,0.117219269,0.143622249,0.104444295,0.109305799,0.151399061,0.159736007,0.136415139,0.122899115,0.132178679,0.124876261,0.108657181,0.108657181,0.141304553,0.125055164,0.105543733,0.116588324,0.144752085,0.134318173,0.089552939,0.124996081,0.124996081,0.081101537,0.035350874,0.104456753,0.061246246,0.126482859,0.110415727,0.15778631,0.136029214,0.077435374,0.132341027
CP18-0283,0.551180348,0.477548957,0.148432463,1.182242036,0.401868284,0.352882616,0.33778353,0.543069646,0.546895243,0.203278087,0.212806471,0.16837199,0.470797449,0.317850135,0.229902558,0.337021112,0.37874575,0.197831549,0.402046196,0.349017598,0.388649493,0.339773007,0.300701916,0.323740304,0.425859287,0.305031702,0.36816185,0.276626766,0.367386453,0.297462389,0.297462389,0.408857755,0.380741023,0.256555177,0.293368567,0.407150686,0.389085144,0.260962591,0.284108408,0.284108408,0.237550184,0.090805911,0.182791855,0.131669216,0.279071219,0.298942417,0.524865314,0.27400516,0.243697286,0.431452841
CP18-0372,0.395985544,0.361699224,0.332126796,0.401868284,1,0.208369762,0.19817999,0.384222507,0.39857018,0.117087007,0.114858299,0.089661598,0.302673966,0.201348409,0.135233149,0.213118106,0.235332936,0.118454188,0.248277128,0.212976933,0.247774988,0.211873651,0.181659728,0.198774189,0.26835531,0.182367116,0.225216508,0.165751815,0.222663552,0.176095098,0.176095098,0.241654605,0.226929873,0.145227164,0.174454734,0.251948237,0.243607491,0.161471426,0.163976133,0.163976133,0.139760971,0.049468607,0.104208075,0.069268301,0.159657896,0.179054916,0.3478567,0.158469141,0.161440521,0.273888648
CP18-0397,0.363745257,0.25160715,0.164354771,0.352882616,0.208369762,1.135777831,0.357104525,0.349531502,0.36430496,0.26961153,0.204294682,0.17037344,0.40150252,0.313958079,0.237688154,0.354357958,0.348628849,0.205506459,0.333691627,0.378525689,0.41057165,0.327653885,0.334301725,0.401107453,0.38352862,0.364702247,0.333040878,0.366207682,0.334670663,0.318518102,0.318518102,0.343578786,0.306182727,0.280941844,0.306827124,0.347123414,0.328681633,0.218111455,0.369061492,0.369061492,0.194471627,0.084152922,0.181311958,0.133313879,0.266485713,0.252895072,0.400708973,0.300363988,0.179901689,0.340915948
CP18-0489,0.316462681,0.247534126,0.129137754,0.33778353,0.19817999,0.357104525,1.123849154,0.570388585,0.357888684,0.180590093,0.439639248,0.401609898,0.39115791,0.289903484,0.251447953,0.312408179,0.352327868,0.212762117,0.374847293,0.5058662,0.499184534,0.448415518,0.460729003,0.281674631,0.37695007,0.262950413,0.351882741,0.257052429,0.352716029,0.33490555,0.33490555,0.375244781,0.33398515,0.305256516,0.303192042,0.358225852,0.326476857,0.237836182,0.288356297,0.288356297,0.216238976,0.094339453,0.169288214,0.179107256,0.271683961,0.256926849,0.407093823,0.296632513,0.17978631,0.353371769
CP18-0515,0.530587077,0.46463275,0.150773883,0.543069646,0.384222507,0.349531502,0.570388585,1.146950483,0.532176137,0.20786503,0.459272668,0.416104436,0.456783056,0.345730931,0.265296221,0.373399287,0.405143976,0.209796578,0.426903248,0.348941505,0.392512977,0.325804681,0.312078267,0.338235274,0.443511993,0.30809097,0.368788838,0.299867257,0.365779728,0.310265809,0.310265809,0.419698477,0.379808486,0.287761122,0.309013285,0.413367689,0.382216007,0.269973516,0.294663802,0.294663802,0.24063313,0.106536582,0.198193789,0.190583795,0.304879293,0.322095156,0.513154089,0.332008928,0.260029554,0.412953317
CP18-0517,0.533249438,0.46951592,0.134055376,0.546895243,0.39857018,0.36430496,0.357888684,0.532176137,1.175645828,0.195304178,0.204606198,0.161313772,0.472281352,0.328093655,0.252080582,0.341954529,0.37820296,0.294570208,0.399656191,0.428208411,0.418700784,0.36359261,0.342687711,0.318721995,0.425084546,0.297306448,0.419183031,0.271840408,0.418520495,0.445610985,0.445610985,0.433065563,0.363922715,0.322330669,0.390391748,0.403669,0.388259858,0.258374304,0.328229621,0.328229621,0.224612832,0.08744853,0.173362281,0.123921029,0.274311304,0.288178742,0.523631543,0.269490883,0.235623315,0.430514693
CP18-0644,0.206961557,0.153635561,0.093438864,0.203278087,0.117087007,0.26961153,0.180590093,0.20786503,0.195304178,1.055511832,0.368533939,0.108812392,0.217418492,0.176336117,0.133696161,0.199611813,0.198276147,0.111691289,0.196576022,0.171260037,0.199609071,0.183633752,0.156969115,0.401588291,0.218258336,0.389601275,0.178723924,0.381606102,0.179257952,0.159665138,0.159665138,0.220271058,0.204697154,0.148605011,0.178279065,0.206271321,0.195085943,0.126495704,0.373239256,0.373239256,0.110875472,0.084608927,0.113253381,0.086531267,0.180014215,0.206282169,0.230614558,0.173210651,0.12629357,0.194551915
CP18-0651,0.201017901,0.163184434,0.093818471,0.212806471,0.114858299,0.204294682,0.439639248,0.459272668,0.204606198,0.368533939,1.0682607,0.367415324,0.230990551,0.202680063,0.180272441,0.224770539,0.241259865,0.134438291,0.252742536,0.199648909,0.211630456,0.193131469,0.189222835,0.200809166,0.24930048,0.189770594,0.210427217,0.192768551,0.209791034,0.194171928,0.194171928,0.267505765,0.238930479,0.198421985,0.201002274,0.238261908,0.211370192,0.155895859,0.188827619,0.188827619,0.141023889,0.10073106,0.132438255,0.154861186,0.216025576,0.234223872,0.249534428,0.235984147,0.15235775,0.212006375
CP18-0661,0.161802888,0.123482227,0.0815956,0.16837199,0.089661598,0.17037344,0.401609898,0.416104436,0.161313772,0.108812392,0.367415324,1.032317638,0.189738303,0.172635809,0.151429757,0.195995748,0.204924434,0.108581722,0.211593688,0.161805987,0.17624715,0.136658639,0.155041099,0.168919995,0.211088866,0.151619837,0.170979798,0.162755564,0.170418859,0.158291101,0.158291101,0.208187312,0.179257959,0.166512966,0.160608001,0.193788707,0.168120801,0.376167595,0.154478833,0.154478833,0.11776638,0.065417454,0.173025303,0.259057865,0.170068637,0.167026162,0.195972919,0.207620651,0.116455346,0.168681741
CP18-0869,0.446642682,0.35096547,0.152536869,0.470797449,0.302673966,0.40150252,0.39115791,0.456783056,0.472281352,0.217418492,0.230990551,0.189738303,1.191140175,0.391842112,0.22402966,0.664026037,0.657840222,0.230355129,0.477047861,0.408626407,0.518445104,0.392906934,0.350632653,0.421933316,0.556606755,0.340654917,0.431989208,0.40948952,0.427151874,0.341184974,0.341184974,0.460184485,0.424243405,0.285161421,0.351230793,0.475328356,0.460529506,0.310839683,0.312114619,0.312114619,0.268385291,0.087589838,0.185722314,0.143957943,0.298604332,0.282839701,0.577052921,0.420977548,0.248450577,0.52082324
CP18-0966,0.32741002,0.260151818,0.129654646,0.317850135,0.201348409,0.313958079,0.289903484,0.345730931,0.328093655,0.176336117,0.202680063,0.172635809,0.391842112,1.11804767,0.438628472,0.572597735,0.365011752,0.186285816,0.307987571,0.282358408,0.51753585,0.24703519,0.258301996,0.490053464,0.536443792,0.26193006,0.292007647,0.318621423,0.280728929,0.263582692,0.263582692,0.311443478,0.275406457,0.249618478,0.271108575,0.308320388,0.299061686,0.192682192,0.254876021,0.254876021,0.17389223,0.087547038,0.163286574,0.185386442,0.247954268,0.263721414,0.367938831,0.300724216,0.248204723,0.310340405
CP18-0968,0.227777459,0.188454583,0.095338196,0.229902558,0.135233149,0.237688154,0.251447953,0.265296221,0.252080582,0.133696161,0.180272441,0.151429757,0.22402966,0.438628472,1.104914159,0.22232566,0.236635581,0.178620957,0.257179305,0.249354944,0.24073267,0.199212074,0.444619425,0.20283458,0.253005497,0.214498248,0.25026948,0.186464664,0.258981518,0.244817495,0.244817495,0.244594902,0.212049343,0.451204605,0.234883629,0.264669165,0.253310874,0.155024394,0.211456854,0.211456854,0.13422215,0.078166429,0.13181169,0.167173341,0.261029933,0.214820482,0.258757785,0.226180859,0.163316458,0.244598836
CP18-0991,0.352147505,0.263512582,0.147042781,0.337021112,0.213118106,0.354357958,0.312408179,0.373399287,0.341954529,0.199611813,0.224770539,0.195995748,0.664026037,0.572597735,0.22232566,1.299449474,0.625127658,0.19439061,0.356296822,0.281056866,0.614842787,0.267390326,0.264570713,0.597838245,0.651059046,0.303397931,0.308104873,0.458229594,0.297205344,0.257766291,0.257766291,0.33253178,0.296110705,0.241373584,0.306713112,0.356618732,0.34745048,0.224057823,0.264052324,0.264052324,0.180847377,0.09058062,0.178724658,0.147194974,0.278242759,0.284412816,0.405701727,0.449827626,0.291115537,0.358350009
CP18-0994,0.367086366,0.289317995,0.140515625,0.37874575,0.235332936,0.348628849,0.352327868,0.405143976,0.37820296,0.198276147,0.241259865,0.204924434,0.657840222,0.365011752,0.236635581,0.625127658,1.167041242,0.205306485,0.448722988,0.331746489,0.437064201,0.312814116,0.30868803,0.381374694,0.627879009,0.298587404,0.35529609,0.383730344,0.348717943,0.292099684,0.292099684,0.38840422,0.35098289,0.275400862,0.310946837,0.443881124,0.377826512,0.40844503,0.276056983,0.276056983,0.220685601,0.092976607,0.180787846,0.15829663,0.29502105,0.279619709,0.458641499,0.415641263,0.246296078,0.412132859
CP18-1008,0.190883741,0.156409532,0.073786259,0.197831549,0.118454188,0.205506459,0.212762117,0.209796578,0.294570208,0.111691289,0.134438291,0.108581722,0.230355129,0.186285816,0.178620957,0.19439061,0.205306485,1.044507265,0.265877575,0.258269295,0.225915819,0.194988191,0.21825096,0.173091479,0.219908059,0.161152042,0.296150431,0.158489905,0.243270323,0.312965587,0.312965587,0.246737823,0.18547079,0.2336808,0.265925925,0.207968622,0.251857519,0.132651299,0.205444954,0.205444954,0.111902326,0.058844537,0.102507759,0.089805745,0.178621881,0.169896379,0.235415548,0.169707656,0.127194449,0.318601727
CP18-1015,0.379253447,0.309119642,0.136662126,0.402046196,0.248277128,0.333691627,0.374847293,0.426903248,0.399656191,0.196576022,0.252742536,0.211593688,0.477047861,0.307987571,0.257179305,0.356296822,0.448722988,0.265877575,1.202468127,0.35168989,0.391137585,0.335224032,0.340329319,0.317376018,0.48225899,0.297404572,0.427800953,0.283840016,0.372005984,0.306847781,0.306847781,0.410942495,0.373165399,0.299576864,0.309392396,0.462287545,0.447277203,0.320310146,0.277928323,0.277928323,0.234162539,0.093831338,0.181460522,0.165359214,0.308870099,0.284143269,0.484100252,0.30694063,0.216795266,0.544664472
CP18-1039,0.322160184,0.25265646,0.117219269,0.349017598,0.212976933,0.378525689,0.5058662,0.348941505,0.428208411,0.171260037,0.199648909,0.161805987,0.408626407,0.282358408,0.249354944,0.281056866,0.331746489,0.258269295,0.35168989,1.202313721,0.525932655,0.487355277,0.49292919,0.263606727,0.362751678,0.253895029,0.557129577,0.232601538,0.560203105,0.587522954,0.587522954,0.434113011,0.397247866,0.495319039,0.346343685,0.35303998,0.331157431,0.232562065,0.479867175,0.479867175,0.279794216,0.08021488,0.148860238,0.130060107,0.244413577,0.222354084,0.423169434,0.243892357,0.154471427,0.369676203
CP18-1041,0.384141728,0.293274492,0.143622249,0.388649493,0.247774988,0.41057165,0.499184534,0.392512977,0.418700784,0.199609071,0.211630456,0.17624715,0.518445104,0.51753585,0.24073267,0.614842787,0.437064201,0.225915819,0.391137585,0.525932655,1.171403557,0.483048931,0.476336196,0.531409435,0.619607076,0.308879711,0.377623707,0.34886656,0.375377417,0.342411906,0.342411906,0.380910531,0.344895691,0.29337576,0.335965097,0.397077352,0.382300705,0.252423406,0.304202713,0.304202713,0.216293305,0.083545186,0.173360027,0.133069351,0.274301901,0.266935453,0.471165955,0.321602538,0.234050721,0.412275195
CP18-1042,0.31439954,0.263908863,0.104444295,0.339773007,0.211873651,0.327653885,0.448415518,0.325804681,0.36359261,0.183633752,0.193131469,0.136658639,0.392906934,0.24703519,0.199212074,0.267390326,0.312814116,0.194988191,0.335224032,0.487355277,0.483048931,1.131479442,0.435225815,0.252997756,0.342552677,0.243115768,0.333180547,0.223259196,0.333145544,0.304589748,0.304589748,0.353715628,0.415574133,0.253612116,0.277251776,0.332670689,0.318992212,0.216715842,0.257304102,0.257304102,0.190772682,0.156341456,0.137396082,0.104975179,0.262032539,0.300075382,0.410262197,0.222152457,0.175985962,0.360619515
CP18-1043,0.284509167,0.221577257,0.109305799,0.300701916,0.181659728,0.334301725,0.460729003,0.312078267,0.342687711,0.156969115,0.189222835,0.155041099,0.350632653,0.258301996,0.444619425,0.264570713,0.30868803,0.21825096,0.340329319,0.49292919,0.476336196,0.435225815,1.123131394,0.244190551,0.336168781,0.261447899,0.33588554,0.2167098,0.353630006,0.323646709,0.323646709,0.314061955,0.281538576,0.494961888,0.299740151,0.353426129,0.336549893,0.214765608,0.260783546,0.260783546,0.176623225,0.074164577,0.141885143,0.114856251,0.287377566,0.218034521,0.361984909,0.247059181,0.149162456,0.346533626
CP18-1176,0.34282577,0.242058545,0.151399061,0.323740304,0.198774189,0.401107453,0.281674631,0.338235274,0.318721995,0.401588291,0.200809166,0.168919995,0.421933316,0.490053464,0.20283458,0.597838245,0.381374694,0.173091479,0.317376018,0.263606727,0.531409435,0.252997756,0.244190551,1.152409673,0.561928228,0.497207686,0.281182334,0.548882566,0.278360657,0.241340987,0.241340987,0.314518787,0.282434441,0.223370187,0.279166948,0.329699814,0.316756628,0.202191249,0.461633392,0.461633392,0.171650231,0.087219551,0.172858367,0.128263164,0.257049374,0.268147379,0.37574704,0.309276104,0.225378297,0.319578305
